"txHash","blockNumber","to","from","value","currency","type"
"0x5c472f4506c38a5b09a2cb2233c10c639556cb51dc54f07197c907575533e90a","12233171","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","125000000000","USDC","IN"
"0xc6f9991a074b51ba14c24812dc089878db5114fb6e9fff97039de6bb2dfbae13","12236333","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x73eaf2941279b8ec6e62ca9b1a060c4ef8663db6","100000000000","USDT","IN"
"0x3a0cd979c25cb5489d61fd7e65df7e1562cb35db2e9deaf68dff2cff7e84da22","12255848","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x09ecac8fcf98dd505bef9bcbce0b574400dff9d1","5000000000","USDT","IN"
"0x38a00e96635ca669b504d24d8e13162688b6f2d5ec390005f6ec4e9323a2c0f2","12257580","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x618ffd1cdabee36ce5992a857cc7463f21272bd7","550000000","USDT","IN"
"0x372254dba2bdc4a59939374142cfe171145b5eb366382ba1afe01e442566fedb","12258107","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0xd551234ae421e3bcba99a0da6d736074f22192ff","5700000000","USDC","IN"
"0x14c30faf5592dc719f5c08dc201cea9e1627a7f308316452b430e2187b5680cd","12258119","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x618ffd1cdabee36ce5992a857cc7463f21272bd7","2500000000","USDT","IN"
"0xcd59587cea42dca69b81a2180e5420a7261767a66f7b7a10731f964337b82458","12270728","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x3b4a390c0612d3aaa1521145a9c27b94c9955823","45000000000","USDT","IN"
"0xbfcea04ff1c024bcbe9a50d9a066308aa283a1cc5cab56b8beacc238e6683367","12272776","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x8888888888e9997e64793849389a8faf5e8e547c","10000000000","USDT","IN"
"0x34719eb1f1bb59d2e2b4fc0d1adce74c12fd791cc0ff133c31375f7a17a5c891","12281665","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","25000000000","USDC","IN"
"0xabbcb073cc791043db6761385b318aa7f4ea0a1db2ef014531d1563d8507df27","12284426","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0xd266d61ac22c2a2ac2dd832e79c14ea152c998d6","50000000000","USDT","IN"
"0xaafca529f422d16283208a59142a3beb0be192c051f11a5e4837b0c16426c3af","12284430","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0xd266d61ac22c2a2ac2dd832e79c14ea152c998d6","80000000000","USDC","IN"
"0x7d07dcaf5e8dd7cef6ec819de7e5bfe510a2ef7df86879c14b71cd764fc1c3cb","12284736","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x842485ac1cf5d37d3cfd013745618561b2da4b46","10000000","USDT","IN"
"0x0b15adaf380bf94185920e3242eae0eec290430fa26cb53b7b845523b59d5252","12284938","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x3fda25f27211a138adf211f4c060f2149674be6d","500000000","USDC","IN"
"0xefe1435d8dc2c6610e21aa3ba3cd07f1fc9e859fbc65939b83e6c1e6dce0fa27","12289392","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x030eb3ed0f2cfde784e7614fa204ec7cb3bb1a16","5000000000","USDT","IN"
"0x434299640c123803b86e022ca9512dbe09399fc0f15a6f815640d3f1c4af4db0","12289509","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x564286362092d8e7936f0549571a803b203aaced","874000000","USDT","IN"
"0x17a0d79f53c92faa66a5c36361f76857104509faed58e6e53dbf172ce1ba7d8a","12289593","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x842485ac1cf5d37d3cfd013745618561b2da4b46","5000000000","USDT","IN"
"0x1fb793771f0c44ff186998bf26d42c58a83b88a4d12ff4c91f0edced21c8a36f","12294988","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x9072fef873221262604a8b03cbf821d22538d00e","5000000000","USDC","IN"
"0xad3474f315b889f7032d5b7c4de4b01abf53ccf78e5bb89a3f97650b9a80a894","12295861","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x302ec2a256a0f05f70e9377b5113c4ed8b2af5c6","100000000000","USDC","IN"
"0x95244e44f6d827c132a705f295508a6c8962d562bd40e12bfaf2c14685209587","12297316","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0xdbc06ffc75fd4c3b31b8885f530e254bcc166f37","20000000000","USDT","IN"
"0xdb16918f99e8a502515b29b29b6372aa0c1d15b59ce212f6d772a942a3fc6ff1","12307926","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x39f63114e00ed84422fb13c6149b833727e6322d","5000000","USDC","IN"
"0xd84ff2cd8893bc7fa18d33c022512d125a1c179076e50de4999abe2140813f22","12307953","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x72ee4a3e8d231a09af55ce90d13985739a3fe7a1","5000000","USDC","IN"
"0x0cdabe5dc6a1a65be554f6bf7eb369ed58d74b61e5ab6cab8c2a44da0e654734","12307985","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x03d34065f6681d1fb9bda2a29da0f9a195e1394a","24990000000","USDC","IN"
"0xe2162b98bd97be91e7cd7e425e86a606e32b44c0d4a1505cd2907410963ba1db","12310809","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x4a5bb1c9347a0d4f7e06a29239162f03647d9232","100000000000","USDT","IN"
